Land,Währung,Januar^{1},Februar^{2},März^{3},April^{4},Mai^{5},Juni^{6},Juli^{7},August^{8},September^{9},Oktober^{10},November^{11},Dezember^{12}
Australien,1 Euro,"1,5770
AUD","1,5825
AUD","1,4946
AUD","1,4663
AUD","1,4995
AUD","1,5044
AUD","1,4856
AUD","1,4550
AUD","1,4820
AUD","1,5474
AUD","1,5455
AUD","1,5685
AUD"
Brasilien,1 Euro,"6,2673
BRL","5,8903
BRL","5,4884
BRL","5,1342
BRL","5,2460
BRL","5,3209
BRL","5,4718
BRL","5,2111
BRL","5,1791
BRL","5,1658
BRL","5,3846
BRL","5,5589
BRL"
Bulgarien,1 Euro,"1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN","1,9558
BGN"
China (VR),1 Euro,"7,1922
CNY","7,1957
CNY","6,9916
CNY","6,9605
CNY","7,0830
CNY","7,0734
CNY","6,8538
CNY","6,8884
CNY","6,9508
CNY","7,0687
CNY","7,3171
CNY","7,3859
CNY"
Dänemark,1 Euro,"7,4411
DKK","7,4408
DKK","7,4404
DKK","7,4391
DKK","7,4405
DKK","7,4392
DKK","7,4426
DKK","7,4393
DKK","7,4366
DKK","7,4389
DKK","7,4387
DKK","7,4377
DKK"
Großbritannien,1 Euro,"0,83503
GBP","0,83787
GBP","0,83638
GBP","0,83655
GBP","0,84969
GBP","0,85759
GBP","0,84955
GBP","0,84499
GBP","0,87463
GBP","0,87058
GBP","0,86892
GBP","0,86950
GBP"
Hongkong,1 Euro,"8,8166
HKD","8,8461
HKD","8,6199
HKD","8,4828
HKD","8,3030
HKD","8,2922
HKD","7,9895
HKD","7,9473
HKD","7,7738
HKD","7,7128
HKD","7,9873
HKD","8,2434
HKD"
Indien,1 Euro,"84,2273
INR","85,0312
INR","83,9933
INR","82,4033
INR","81,7828
INR","82,5112
INR","81,0182
INR","80,5563
INR","79,4558
INR","80,9180
INR","83,3384
INR","87,3381
INR"
Indonesien,1 Euro,"16.227,12
IDR","16.271,78
IDR","15.802,12
IDR","15.566,64
IDR","15.422,62
IDR","15.531,74
IDR","15.258,22
IDR","15.024,16
IDR","14.847,40
IDR","15.172,93
IDR","15.975,07
IDR","16.503,30
IDR"
Island,1 Euro,"146,09
ISK","141,99
ISK","143,39
ISK","139,83
ISK","138,46
ISK","138,47
ISK","139,05
ISK","140,12
ISK","140,35
ISK","141,50
ISK","146,98
ISK","150,76
ISK"
Israel,1 Euro,"3,5487
ILS","3,6452
ILS","3,5710
ILS","3,5106
ILS","3,5758
ILS","3,6038
ILS","3,5309
ILS","3,3408
ILS","3,4181
ILS","3,4823
ILS","3,5488
ILS","3,6562
ILS"
Japan,1 Euro,"130,01
JPY","130,66
JPY","130,71
JPY","136,61
JPY","136,24
JPY","141,57
JPY","139,17
JPY","136,85
JPY","141,57
JPY","144,73
JPY","145,12
JPY","142,82
JPY"
Kanada,1 Euro,"1,4282
CAD","1,4422
CAD","1,3950
CAD","1,3652
CAD","1,3588
CAD","1,3537
CAD","1,3180
CAD","1,3078
CAD","1,3187
CAD","1,3477
CAD","1,3708
CAD","1,4379
CAD"
"Korea, Republik",1 Euro,"1.353,61
KRW","1.358,53
KRW","1.345,66
KRW","1.337,58
KRW","1.340,10
KRW","1.351,47
KRW","1.332,00
KRW","1.337,90
KRW","1.381,71
KRW","1.403,51
KRW","1.384,19
KRW","1.370,59
KRW"
Kroatien,1 Euro,"7,5247
HRK","7,5338
HRK","7,5711
HRK","7,5577
HRK","7,5356
HRK","7,5252
HRK","7,5185
HRK","7,5138
HRK","7,5222
HRK","7,5298
HRK","7,5426
HRK","7,5448
HRK"
Malaysia,1 Euro,"4,7405
MYR","4,7492
MYR","4,6277
MYR","4,6208
MYR","4,6344
MYR","4,6496
MYR","4,5197
MYR","4,5233
MYR","4,5005
MYR","4,6127
MYR","4,7002
MYR","4,6721
MYR"
Mexiko,1 Euro,"23,1891
MXN","23,1808
MXN","22,6476
MXN","21,7206
MXN","21,1861
MXN","21,1240
MXN","20,8955
MXN","20,3909
MXN","19,8718
MXN","19,6481
MXN","19,8393
MXN","20,7608
MXN"
Neuseeland,1 Euro,"1,6789
NZD","1,6982
NZD","1,6049
NZD","1,5978
NZD","1,6515
NZD","1,6640
NZD","1,6436
NZD","1,6158
NZD","1,6691
NZD","1,7299
NZD","1,6828
NZD","1,6660
NZD"
Norwegen,1 Euro,"10,0070
NOK","10,0544
NOK","9,7367
NOK","9,6191
NOK","10,1453
NOK","10,2972
NOK","10,1823
NOK","9,8309
NOK","10,1697
NOK","10,3919
NOK","10,3357
NOK","10,4480
NOK"
Philippinen,1 Euro,"58,000
PHP","58,163
PHP","57,415
PHP","56,264
PHP","55,421
PHP","56,756
PHP","56,917
PHP","56,542
PHP","57,074
PHP","57,738
PHP","58,655
PHP","58,888
PHP"
Polen,1 Euro,"4,5522
PLN","4,5487
PLN","4,7522
PLN","4,6485
PLN","4,6485
PLN","4,6471
PLN","4,7682
PLN","4,7233
PLN","4,7414
PLN","4,8040
PLN","4,6964
PLN","4,6832
PLN"
Rumänien,1 Euro,"4,9454
RON","4,9458
RON","4,9482
RON","4,9442
RON","4,9460
RON","4,9444
RON","4,9396
RON","4,8943
RON","4,9097
RON","4,9259
RON","4,9142
RON","4,9224
RON"
Russland,1 Euro,"86,5552
RUB","88,8910
RUB",,,,,,,,,,
Schweden,1 Euro,"10,3579
SEK","10,5342
SEK","10,5463
SEK","10,3175
SEK","10,4956
SEK","10,6005
SEK","10,5752
SEK","10,5021
SEK","10,7840
SEK","10,9503
SEK","10,8798
SEK","10,9859
SEK"
Schweiz,1 Euro,"1,0401
CHF","1,0461
CHF","1,0245
CHF","1,0211
CHF","1,0355
CHF","1,0245
CHF","0,9876
CHF","0,9690
CHF","0,9640
CHF","0,9791
CHF","0,9842
CHF","0,9865
CHF"
Singapur,1 Euro,"1,5286
SGD","1,5274
SGD","1,4972
SGD","1,4775
SGD","1,4621
SGD","1,4624
SGD","1,4211
SGD","1,4016
SGD","1,3999
SGD","1,4003
SGD","1,4144
SGD","1,4313
SGD"
Südafrika,1 Euro,"17,5286
ZAR","17,2663
ZAR","16,5138
ZAR","16,2796
ZAR","16,8131
ZAR","16,6961
ZAR","17,1606
ZAR","16,9182
ZAR","17,3828
ZAR","17,8214
ZAR","17,8328
ZAR","18,3036
ZAR"
Thailand,1 Euro,"37,607
THB","37,014
THB","36,648
THB","36,559
THB","36,392
THB","36,928
THB","37,028
THB","36,306
THB","36,670
THB","37,286
THB","37,087
THB","36,817
THB"
Tschechien,1 Euro,"24,470
CZK","24,437
CZK","25,007
CZK","24,435
CZK","24,750
CZK","24,719
CZK","24,594
CZK","24,568
CZK","24,576
CZK","24,528
CZK","24,369
CZK","24,269
CZK"
Türkei,1 Euro,"15,3525
TRY","15,4901
TRY","16,1233
TRY","15,9311
TRY","16,5412
TRY","17,9599
TRY","17,7896
TRY","18,2701
TRY","18,1465
TRY","18,2655
TRY","18,9877
TRY","19,7613
TRY"
Ungarn,1 Euro,"358,68
HUF","356,97
HUF","376,64
HUF","374,87
HUF","384,45
HUF","396,66
HUF","404,10
HUF","402,10
HUF","404,19
HUF","418,31
HUF","406,68
HUF","407,68
HUF"
USA,1 Euro,"1,1314
USD","1,1342
USD","1,1019
USD","1,0819
USD","1,0579
USD","1,0566
USD","1,0179
USD","1,0128
USD","0,9904
USD","0,9826
USD","1,0201
USD","1,0589
USD"
